,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
10,"I'm at Johnny's Tavern in Lawrence, KS https://t.co/1aPe6Xsr81",1,"[-95.30818159, 38.96939924]","[""i'm"", 'at', ""johnny's"", 'tavern', 'in', 'lawrence,', 'ks', 'https://t.co/1ape6xsr81']","[""johnny's"", 'tavern', 'lawrence,', 'ks', 'https://t.co/1ape6xsr81']","(1048576,[209151,276807,288411,310931,840718],[1.0,1.0,1.0,1.0,1.0])","(1048576,[209151,276807,288411,310931,840718],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
11,"Want to work in #KorntalMünchingen, BW? View our latest opening: https://t.co/eR5vMv2q8i #technology #Job #Jobs #Hiring",1,"[9.11486, 48.84894]","['want', 'to', 'work', 'in', '#korntalmünchingen,', 'bw?', 'view', 'our', 'latest', 'opening:', 'https://t.co/er5vmv2q8i', '#technology', '#job', '#jobs', '#hiring']","['want', 'work', '#korntalmünchingen,', 'bw?', 'view', 'latest', 'opening:', 'https://t.co/er5vmv2q8i', '#technology', '#job', '#jobs', '#hiring']","(1048576,[46074,122254,190256,285741,613101,695983,731220,745986,770186,820775,1010001,1018920],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[46074,122254,190256,285741,613101,695983,731220,745986,770186,820775,1010001,1018920],[2.8903717579,1.97408102602,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.48490664979,2.19722457734,2.8903717579,2.8903717579,2.8903717579])",3
12,"wind 2kmh -&gt; 6kmh""",0,"[-4.73, 41.64]","['wind', '2kmh', '-&gt;', '6kmh""']","['wind', '2kmh', '-&gt;', '6kmh""']","(1048576,[11327,202972,381390,832345],[1.0,1.0,1.0,1.0])","(1048576,[11327,202972,381390,832345],[2.8903717579,2.19722457734,2.48490664979,2.8903717579])",4
13,"I'm at Honda Argenta in Pachuca, HGO w/ @helenpalmas https://t.co/sR5fK7hL0w https://t.co/pvJufelDef",0,"[-98.74640845, 20.08950116]","[""i'm"", 'at', 'honda', 'argenta', 'in', 'pachuca,', 'hgo', 'w/', '@helenpalmas', 'https://t.co/sr5fk7hl0w', 'https://t.co/pvjufeldef']","['honda', 'argenta', 'pachuca,', 'hgo', 'w/', '@helenpalmas', 'https://t.co/sr5fk7hl0w', 'https://t.co/pvjufeldef']","(1048576,[347797,437943,456051,730968,821797,944905,964679,996640],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[347797,437943,456051,730968,821797,944905,964679,996640],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",5
14,"We're #hiring! Click to apply: CNA - Float Personnel - https://t.co/zQv5IAjICp #PSJHJobs #Nursing #Everett, WA #Job #Jobs",0,"[-122.2334664, 47.9417388]","[""we're"", '#hiring!', 'click', 'to', 'apply:', 'cna', '-', 'float', 'personnel', '-', 'https://t.co/zqv5iajicp', '#psjhjobs', '#nursing', '#everett,', 'wa', '#job', '#jobs']","['#hiring!', 'click', 'apply:', 'cna', '-', 'float', 'personnel', '-', 'https://t.co/zqv5iajicp', '#psjhjobs', '#nursing', '#everett,', 'wa', '#job', '#jobs']","(1048576,[122254,122949,363515,398402,400865,540233,565136,569819,600844,677311,683258,745986,954949,1031255],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,122949,363515,398402,400865,540233,565136,569819,600844,677311,683258,745986,954949,1031255],[1.97408102602,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.48490664979,2.8903717579,4.39444915467,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.48490664979])",3
15,Stone Totalitarian (IRS) Imperial Russian Stout on tap now. https://t.co/LvmRwOuwyX @StoneBrewingCo #YankeesSteakhouse #BeerMenus,0,"[-73.9774474, 40.7597501]","['stone', 'totalitarian', '(irs)', 'imperial', 'russian', 'stout', 'on', 'tap', 'now.', 'https://t.co/lvmrwouwyx', '@stonebrewingco', '#yankeessteakhouse', '#beermenus']","['stone', 'totalitarian', '(irs)', 'imperial', 'russian', 'stout', 'tap', 'now.', 'https://t.co/lvmrwouwyx', '@stonebrewingco', '#yankeessteakhouse', '#beermenus']","(1048576,[23543,81379,112365,309219,344334,575416,578013,626394,768308,774902,896314,976698],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[23543,81379,112365,309219,344334,575416,578013,626394,768308,774902,896314,976698],[2.19722457734,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.19722457734,2.19722457734,2.8903717579,2.8903717579,2.8903717579,2.19722457734])",0
16,Drinking a Brightside IPA by @LonePineBrewing at @mainebeercafe — https://t.co/DGi9BoDKAL,0,"[-70.7199, 43.1216]","['drinking', 'a', 'brightside', 'ipa', 'by', '@lonepinebrewing', 'at', '@mainebeercafe', '—', 'https://t.co/dgi9bodkal']","['drinking', 'brightside', 'ipa', '@lonepinebrewing', '@mainebeercafe', '—', 'https://t.co/dgi9bodkal']","(1048576,[310116,435694,466465,525824,739438,755978,955728],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[310116,435694,466465,525824,739438,755978,955728],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
17,"https://t.co/8PUbmWUnbx https://t.co/vObkKgpq1G""",0,"[80.2496, 13.0604]","['https://t.co/8pubmwunbx', 'https://t.co/vobkkgpq1g""']","['https://t.co/8pubmwunbx', 'https://t.co/vobkkgpq1g""']","(1048576,[214520,581998],[1.0,1.0])","(1048576,[214520,581998],[2.8903717579,2.8903717579])",3
18,I'm at Hartsfield-Jackson Atlanta South Cargo Ramp in GA https://t.co/aqYAOuY11d,1,"[-84.43375725, 33.6294047]","[""i'm"", 'at', 'hartsfield-jackson', 'atlanta', 'south', 'cargo', 'ramp', 'in', 'ga', 'https://t.co/aqyaouy11d']","['hartsfield-jackson', 'atlanta', 'south', 'cargo', 'ramp', 'ga', 'https://t.co/aqyaouy11d']","(1048576,[162231,326796,340397,480575,545934,852298,940811],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[162231,326796,340397,480575,545934,852298,940811],[2.19722457734,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579])",6
19,"At 7:45 AM, 2 NE Round Hill [Loudoun Co, VA] NWS EMPLOYEE reports FLOOD. SOUTH FORK CATOCTIN CREEK FLOODED OVER KET… https://t.co/MsVVYItTTz",0,"[-77.75, 39.15]","['at', '7:45', 'am,', '2', 'ne', 'round', 'hill', '[loudoun', 'co,', 'va]', 'nws', 'employee', 'reports', 'flood.', 'south', 'fork', 'catoctin', 'creek', 'flooded', 'over', 'ket…', 'https://t.co/msvvyitttz']","['7:45', 'am,', '2', 'ne', 'round', 'hill', '[loudoun', 'co,', 'va]', 'nws', 'employee', 'reports', 'flood.', 'south', 'fork', 'catoctin', 'creek', 'flooded', 'ket…', 'https://t.co/msvvyitttz']","(1048576,[4106,162231,293506,313303,341679,392250,450196,482011,518662,593078,720578,740255,786070,793056,794932,808248,863677,917098,960879,998485],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[4106,162231,293506,313303,341679,392250,450196,482011,518662,593078,720578,740255,786070,793056,794932,808248,863677,917098,960879,998485],[2.8903717579,2.19722457734,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,1.97408102602,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",7
